Model Fabrika,SH1,SH2,SH3,SH4
Adana,0.207869416,0.239584596,0.351620174,0.200925814
Ankara,0.20624897,0.241729305,0.351286553,0.200735173
Bursa,0.207505987,0.240065606,0.35154535,0.200883057
Denizli,0.361361767,0.189966231,0.249262223,0.199409778
Eskişehir,0.206341969,0.241606218,0.351305699,0.200746114
Gaziantep,0.207620603,0.239913908,0.351568948,0.200896542
Kayseri,0.206485112,0.241416764,0.35133517,0.200762954
Kocaeli,0.360630843,0.190611723,0.249309685,0.199447748
Konya,0.206479109,0.241424709,0.351333934,0.200762248
Malatya,0.359561786,0.191555825,0.249379105,0.199503284
Mersin,0.2068407,0.240946132,0.351408379,0.200804788
Samsun,0.206378987,0.241557223,0.351313321,0.200750469
Tekirdağ,0.361230443,0.190082206,0.24927075,0.1994166
Trabzon,0.359511392,0.191600329,0.249382377,0.199505902
İzmir,0.207539733,0.240020942,0.351552298,0.200887027
